タイトル,URL
Linuxを生み出したリーナス・トーバルズがIntelを厳しく批判、理由は「ECCメモリを死に至らせているから」,https://gigazine.net/news/20210105-linus-bad-policy-intel-ecc-memory/
たった1枚の画像から「奥行きがあり視点を前後左右に動かせる3D画像を生成する方法」が開発される,https://gigazine.net/news/20210105-single-image-synthesis-3d-sheet/
シャボン玉を冷凍するといったいどんな感じで凍っていくのか？,https://gigazine.net/news/20210104-freezing-bubble/
くり・黒豆・さつまいもの和食材がクリーミーなバニラアイスと融合した「黒豆きんとんバニラ」試食レビュー,https://gigazine.net/news/20210104-31ice-kuri-kinton-vanilla/
新型コロナを予防する「mRNAワクチン」を実現に導いた女性科学者は大学で冷遇されていた,https://gigazine.net/news/20210104-pfizer-covid-mrna-vaccine-katalin-kariko/
AMDが「CPUとFPGAのハイブリッドプロセッサ」の特許を出願,https://gigazine.net/news/20210104-amd-cpu-fpga-hybrid-design-patent/
Facebookの「パスワードのリセット機能」を利用して見覚えがない電話番号の持ち主を特定する方法,https://gigazine.net/news/20210104-find-unknown-phone-numbers-facebook-account/
2021年1月4日のヘッドラインニュース,https://gigazine.net/news/20210104-headline/
軽量・安価・高エネルギーな亜鉛空気電池の「充電できない」という欠点を克服する方法を研究チームが発見したという報告,https://gigazine.net/news/20210104-rechargeable-zinc-air-battery/
全長33メートルの膣の彫刻がブラジルで争いを生み出している,https://gigazine.net/news/20210104-vagina-artwork-in-brazil/
新型コロナワクチンの予防接種を推奨すべき10の理由,https://gigazine.net/news/20210104-oxford-covid19-vaccine-reasons/
マダイ・エビ・穴子の天ぷらがごはんの上を埋め尽くしたてんやの「新春めで鯛天丼」試食レビュー,https://gigazine.net/news/20210104-tenya-medetai/
100億円の広告費をドブに捨てたという真実を知ったUberの話,https://gigazine.net/news/20210104-uber-defrauded-100m/
PS4をバッテリー＆ディスプレイ一体型の携帯ゲーム機に魔改造してしまった猛者が登場,https://gigazine.net/news/20210104-playstation-4-mobile/
ビットコインの価格が350万円を突破、1年で価格は4倍に,https://gigazine.net/news/20210104-bitcoin-break-34000-dollars/
寒い中で運動すると「脂肪の燃焼効率が上がる」という研究結果,https://gigazine.net/news/20210104-exercising-in-cold-burn-more-fat/
「管理者権限でログインできるバックドアアカウント」が10万台以上のZyxel製ネットワーク機器で見つかる,https://gigazine.net/news/20210104-zyxel-backdoor-account/
macOS向けスリープ防止ソフト「アンフェタミン」をAppleがガイドライン違反扱いする事態が発生,https://gigazine.net/news/20210104-amphetamine-stay-in-app-store/
「つららを食べるのは鳥のフンを食べるのと同じ」と気候学者が警告,https://gigazine.net/news/20210104-eating-icicle-licking-bird-poop/
世界最大のゲーム会社テンセントのゲームがHuawei公式のアプリストアから削除される,https://gigazine.net/news/20210104-tencent-games-removed-huawei-app-store/
Facebookの広告責任者が退職したことが判明,https://gigazine.net/news/20210104-facebook-chief-leaves-company/
「ONE PIECE」が連載1000話を達成、第1回世界人気投票などの記念企画が続々開催,https://gigazine.net/news/20210104-one-piece-1000-logs/
ソニーがPS4の複数モデルを生産終了予定であることが明らかに,https://gigazine.net/news/20210104-discontinue-multiple-ps4-models/
GitHubのサービスを駆使してウェブサイトの死活監視が無料で行える「Upptime」,https://gigazine.net/news/20210104-upptime/
世界で2番目に高価なスパイスであるバニラ栽培の歴史,https://gigazine.net/news/20210104-history-vanilla-madagascar/
作物をAIで管理して室内で育てる「垂直農場」は何が優れているのか?,https://gigazine.net/news/20210104-plenty-vertical-farm/
なぜ複雑なシステムでは障害が発生しやすいのか,https://gigazine.net/news/20210104-complex-system/
無料で色々なWebサービスを1カ所で管理できるツール「Slapdash」を使ってみた,https://gigazine.net/news/20210103-slapdash/
食パンに塗るだけでカレーパンが完成するという「ぬって焼いたらカレーパン」は本当にカレーパンなのか確かめてみた,https://gigazine.net/news/20210103-curry-pan-toast/
1つのパスワードさえ覚えておけばブラウザ・スマホでパスワード管理ができる「Passit」レビュー,https://gigazine.net/news/20210103-passit/
